Year,CPI,Quarter
1970,5.895299911499023,1
1970,5.895299911499023,2
1970,5.895299911499023,3
1970,5.895299911499023,4
1971,4.292764663696289,1
1971,4.292764663696289,2
1971,4.292764663696289,3
1971,4.292764663696289,4
1972,3.2722830772399902,1
1972,3.2722830772399902,2
1972,3.2722830772399902,3
1972,3.2722830772399902,4
1973,6.177756309509277,1
1973,6.177756309509277,2
1973,6.177756309509277,3
1973,6.177756309509277,4
1974,11.05479907989502,1
1974,11.05479907989502,2
1974,11.05479907989502,3
1974,11.05479907989502,4
1975,9.143152236938477,1
1975,9.143152236938477,2
1975,9.143152236938477,3
1975,9.143152236938477,4
1976,5.744812488555908,1
1976,5.744812488555908,2
1976,5.744812488555908,3
1976,5.744812488555908,4
1977,6.501684188842773,1
1977,6.501684188842773,2
1977,6.501684188842773,3
1977,6.501684188842773,4
1978,7.630959987640381,1
1978,7.630959987640381,2
1978,7.630959987640381,3
1978,7.630959987640381,4
1979,11.254474639892578,1
1979,11.254474639892578,2
1979,11.254474639892578,3
1979,11.254474639892578,4
1980,13.549202919006348,1
1980,13.549202919006348,2
1980,13.549202919006348,3
1980,13.549202919006348,4
1981,10.334716796875,1
1981,10.334716796875,2
1981,10.334716796875,3
1981,10.334716796875,4
1982,6.1314215660095215,1
1982,6.1314215660095215,2
1982,6.1314215660095215,3
1982,6.1314215660095215,4
1983,3.2124335765838623,1
1983,3.2124335765838623,2
1983,3.2124335765838623,3
1983,3.2124335765838623,4
1984,4.300540447235107,1
1984,4.300540447235107,2
1984,4.300540447235107,3
1984,4.300540447235107,4
1985,3.5456385612487793,1
1985,3.5456385612487793,2
1985,3.5456385612487793,3
1985,3.5456385612487793,4
1986,1.8980554342269897,1
1986,1.8980554342269897,2
1986,1.8980554342269897,3
1986,1.8980554342269897,4
1987,3.6645569801330566,1
1987,3.6645569801330566,2
1987,3.6645569801330566,3
1987,3.6645569801330566,4
1988,4.077741622924805,1
1988,4.077741622924805,2
1988,4.077741622924805,3
1988,4.077741622924805,4
1989,4.82700777053833,1
1989,4.82700777053833,2
1989,4.82700777053833,3
1989,4.82700777053833,4
1990,5.397953510284424,1
1990,5.397953510284424,2
1990,5.397953510284424,3
1990,5.397953510284424,4
1991,4.2349629402160645,1
1991,4.2349629402160645,2
1991,4.2349629402160645,3
1991,4.2349629402160645,4
1992,3.028822660446167,1
1992,3.028822660446167,2
1992,3.028822660446167,3
1992,3.028822660446167,4
1993,2.951657295227051,1
1993,2.951657295227051,2
1993,2.951657295227051,3
1993,2.951657295227051,4
1994,2.6074390411376953,1
1994,2.6074390411376953,2
1994,2.6074390411376953,3
1994,2.6074390411376953,4
1995,2.805418014526367,1
1995,2.805418014526367,2
1995,2.805418014526367,3
1995,2.805418014526367,4
1996,2.9312081336975098,1
1996,2.9312081336975098,2
1996,2.9312081336975098,3
1996,2.9312081336975098,4
1997,2.3376882076263428,1
1997,2.3376882076263428,2
1997,2.3376882076263428,3
1997,2.3376882076263428,4
1998,1.5522807836532593,1
1998,1.5522807836532593,2
1998,1.5522807836532593,3
1998,1.5522807836532593,4
1999,2.1880264282226562,1
1999,2.1880264282226562,2
1999,2.1880264282226562,3
1999,2.1880264282226562,4
2000,3.3768539428710938,1
2000,3.3768539428710938,2
2000,3.3768539428710938,3
2000,3.3768539428710938,4
2001,2.826171636581421,1
2001,2.826171636581421,2
2001,2.826171636581421,3
2001,2.826171636581421,4
2002,1.5860344171524048,1
2002,1.5860344171524048,2
2002,1.5860344171524048,3
2002,1.5860344171524048,4
2003,2.270094156265259,1
2003,2.270094156265259,2
2003,2.270094156265259,3
2003,2.270094156265259,4
2004,2.6772384643554688,1
2004,2.6772384643554688,2
2004,2.6772384643554688,3
2004,2.6772384643554688,4
2005,3.39274525642395,1
2005,3.39274525642395,2
2005,3.39274525642395,3
2005,3.39274525642395,4
2006,3.2259416580200195,1
2006,3.2259416580200195,2
2006,3.2259416580200195,3
2006,3.2259416580200195,4
2007,2.8526782989501953,1
2007,2.8526782989501953,2
2007,2.8526782989501953,3
2007,2.8526782989501953,4
2008,3.8391003608703613,1
2008,3.8391003608703613,2
2008,3.8391003608703613,3
2008,3.8391003608703613,4
2009,-0.35554906725883484,1
2009,-0.35554906725883484,2
2009,-0.35554906725883484,3
2009,-0.35554906725883484,4
2010,1.6400398015975952,1
2010,1.6400398015975952,2
2010,1.6400398015975952,3
2010,1.6400398015975952,4
2011,3.156846523284912,1
2011,3.156846523284912,2
2011,3.156846523284912,3
2011,3.156846523284912,4
2012,2.0693306922912598,1
2012,2.0693306922912598,2
2012,2.0693306922912598,3
2012,2.0693306922912598,4
2013,1.4648375511169434,1
2013,1.4648375511169434,2
2013,1.4648375511169434,3
2013,1.4648375511169434,4
2014,1.6222240924835205,1
2014,1.6222240924835205,2
2014,1.6222240924835205,3
2014,1.6222240924835205,4
2015,0.11862505227327347,1
2015,0.11862505227327347,2
2015,0.11862505227327347,3
2015,0.11862505227327347,4
2016,1.2615814208984375,1
2016,1.2615814208984375,2
2016,1.2615814208984375,3
2016,1.2615814208984375,4
2017,2.136,1
2017,2.136,2
2017,2.136,3
2017,2.136,4
2018,2.44,1
2018,2.44,2
2018,2.44,3
2018,2.44,4
2019,1.812000036239624,1
2019,1.812000036239624,2
2019,1.812000036239624,3
2019,1.812000036239624,4
2020,1.2335843963066413,1
2020,1.2335843963066413,2
2020,1.2335843963066413,3
2020,1.2335843963066413,4
2021,4.697859,1
2021,4.697859,2
2021,4.697859,3
2021,4.697859,4
2022,8.0028,1
2022,8.0028,2
2022,8.0028,3
2022,8.0028,4
2023,4.128,1
2023,4.128,2
2023,4.128,3
2023,4.128,4
2024,2.9495110725289693,1
2024,2.9495110725289693,2
2024,2.9495110725289693,3
2024,2.9495110725289693,4
